identifier,date,report,desc,title,for,against,abstention,no_show,excused
169626,2024-09-19 12:14:35,RC-B10-0028/2024,,– § 2 – Am 5,76,529,13,21,8
169628,2024-09-19 12:14:52,RC-B10-0028/2024,,– § 2/1,551,49,19,20,8
169629,2024-09-19 12:15:04,RC-B10-0028/2024,,– § 2/2,498,86,37,18,8
169630,2024-09-19 12:15:16,RC-B10-0028/2024,,– § 2/3,447,135,35,22,8
169631,2024-09-19 12:15:29,RC-B10-0028/2024,,– After § 2 – Am 12,132,471,20,16,8
169632,2024-09-19 12:15:41,RC-B10-0028/2024,,– After § 2 – Am 13,166,414,34,25,8
169633,2024-09-19 12:15:54,RC-B10-0028/2024,,– After § 3 – Am 14,175,414,34,16,8
169634,2024-09-19 12:16:07,RC-B10-0028/2024,,– After § 3 – Am 15,105,481,30,23,8
169635,2024-09-19 12:16:20,RC-B10-0028/2024,,– § 5,466,118,40,15,8
169636,2024-09-19 12:16:34,RC-B10-0028/2024,,– § 6 – Am 6,45,547,29,18,8
169637,2024-09-19 12:16:47,RC-B10-0028/2024,,– § 7,471,61,82,25,8
169638,2024-09-19 12:16:59,RC-B10-0028/2024,,– After § 7 – Am 16,89,505,30,15,8
169639,2024-09-19 12:17:12,RC-B10-0028/2024,,– After § 7 – Am 17,68,514,34,23,8
169640,2024-09-19 12:17:24,RC-B10-0028/2024,,– After § 7 – Am 18,91,515,16,17,8
169641,2024-09-19 12:17:35,RC-B10-0028/2024,,– After § 7 – Am 19,166,430,27,16,8
169642,2024-09-19 12:17:48,RC-B10-0028/2024,,– § 8,377,191,51,20,8
169643,2024-09-19 12:18:04,RC-B10-0028/2024,,– After § 8 – Am 20,134,447,43,15,8
169644,2024-09-19 12:18:17,RC-B10-0028/2024,,– § 9 – Am 7,64,525,18,32,8
169645,2024-09-19 12:18:31,RC-B10-0028/2024,,– § 9 – Am 21,79,510,29,21,8
169647,2024-09-19 12:18:44,RC-B10-0028/2024,,– § 9/1,403,159,54,23,8
