mepid,mep,group,voted
6316,Revault D'Allonnes Bonnefoy,S&D,4996
6316,Revault d'Allonnes Bonnefoy,S&D,3038
6365,Ribeiro,PPE,7913
4676,Ries,ALDE,7560
6056,Riquet,ALDE,7714
5917,Rivasi,Verts/ALE,7169
6154,Rochefort,ALDE,6956
6677,Rodrigues Liliana,S&D,8059
6371,Rodrigues Maria João,S&D,6890
6639,Rodriguez-Rubio,GUE/NGL,330
6639,Rodriguez-Rubio Vázquez,GUE/NGL,3
6649,Rodríguez-Piñero Fernández,S&D,7231
5813,Rodust,S&D,7780
5890,Rohde,ALDE,6092
6684,Rolin,PPE,8040
6694,Ropé,Verts/ALE,5
6694,Ropė,Verts/ALE,7860
5512,Rosati,PPE,7589
6357,Rozière,S&D,7082
6362,Ruas,PPE,7623
6718,Ruohonen-Lerner,ECR,6594
4596,Rübig,PPE,7955
6674,Sakorafa,GUE/NGL,7439
3991,Salafranca Sánchez-Neyra,PPE,3402
6698,Salini,PPE,8120
5522,Salvini,ENF,4715
6370,Sander,PPE,8146
6415,Sant,S&D,7695
5987,Sargentini,Verts/ALE,7648
6259,Sarvamaa,PPE,7087
5416,Saryusz-Wolski,NI,6406
6036,Sassoli,S&D,6819
5877,Saudargas,PPE,6983
4768,Saïfi,PPE,7830
6100,Schaake,ALDE,7712
6389,Schaffhauser,ENF,7623
5713,Schaldemose,S&D,8069
6758,Schirdewan,GUE/NGL,2856
6438,Schlein,S&D,7869
6619,Schmidt,PPE,8004
5837,Scholz,GUE/NGL,7711
6636,Schreijer-Pierik,PPE,7348
3825,Schulz,S&D,108
6443,Schulze,PPE,7570
6475,Schuster,S&D,7051
5345,Schwab,PPE,7689
5265,Schöpflin,PPE,7837
6560,Scott Cato,Verts/ALE,7586
6134,Scotta',ENF,17
6134,Scottà,ENF,2124
6659,Sebastià,Verts/ALE,3613
5897,Sehnalová,S&D,7561
6722,Selimovic,ALDE,6408
6781,Sellström,PPE,1429
6655,Senra Rodríguez,GUE/NGL,7484
6428,Sernagiotto,ECR,7734
6375,Serrão Santos,S&D,7836
6568,Seymour,EFDD,6415
5111,Siekierski,PPE,6851
6381,Silva Pereira,S&D,7971
6008,Simon Peter,S&D,7611
6566,Simon Siôn,S&D,7581
6093,Sippel,S&D,6959
5571,Smith,Verts/ALE,6276
5844,Smolková,S&D,7509
6738,Solé,Verts/ALE,3691
4705,Sommer,PPE,6994
5418,Sonik,PPE,1192
6471,Sonneborn,NI,5470
6498,Soru,S&D,2925
6174,Sosa Wagner,ALDE,41
6768,Sośnierz,NI,2441
6444,Spinelli,GUE/NGL,8066
6663,Spyraki,PPE,5247
4983,Staes,Verts/ALE,8041
6490,Stanishev,S&D,5376
6464,Starbatty,ECR,7410
6003,Steinruck,S&D,4865
6682,Stevens,ECR,7953
6302,Stier,PPE,3225
4949,Stihler,S&D,6198
5778,Stolojan,PPE,7932
6634,Stuger,ENF,7362
6320,Stylianides,PPE,44
6546,Sulík,ECR,7196
6672,Svoboda,PPE,7612
6088,Swinburne,ECR,6265
6321,Sylikiotis,GUE/NGL,7380
6670,Synadinos,NI,7342
6334,Szanyi,S&D,7533
6528,Szejnfeld,PPE,8054
5143,Szájer,PPE,7339
6641,Sánchez Caldentey,GUE/NGL,7214
5653,Sârbu,S&D,6342
5781,Sógor,PPE,7804
4482,Tajani,PPE,3314
5435,Takkula,ALDE,4393
6447,Tamburrano,EFDD,7086
6623,Tang,S&D,6943
4925,Tannock,ECR,7923
6427,Tapardel,S&D,2746
5624,Tarabella,S&D,7846
6168,Tarand,Verts/ALE,6853
6204,Taylor,Verts/ALE,6805
6337,Telička,ALDE,8127
6220,Terho,ECR,479
6549,Terricabras,Verts/ALE,7223
5207,Theocharous,ECR,5476
6042,Theurer,ALDE,3826
6282,Thomas,S&D,7774
5949,Thun und Hohenstein,PPE,6858
3738,Thyssen,PPE,41
5459,Toia,S&D,7436
6733,Tolić,PPE,2707
5878,Tomaševski,ECR,6921
6300,Tomašić,ECR,7616
6681,Tomc,PPE,7730
6331,Toom,ALDE,7036
6716,Torres Martínez,GUE/NGL,5258
6281,Torvalds,ALDE,7444
6398,Toti,PPE,280
5892,Tošenovský,ECR,8047
6466,Trebesius,ECR,7310
6181,Tremosa i Balcells,ALDE,7425
6392,Troszczynski,ENF,7837
5360,Trüpel,Verts/ALE,5722
4847,Turmes,Verts/ALE,5074
6518,Tørnæs,ALDE,1972
6019,Tănăsescu,S&D,7480
5783,Tőkés,PPE,7011
5113,Ujazdowski,NI,7746
