date,code,reference,name,baseurl,extensions
2017-04-27,VOT,P8_PV-PROV(2017)04-27(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-27/pv_provisoire/P8_PV-PROV(2017)04-27(VOT)_EN,pdf|docx
2017-04-06,VOT,P8_PV-PROV(2017)04-06(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-06/pv_provisoire/P8_PV-PROV(2017)04-06(VOT)_EN,pdf|docx
2017-04-05,VOT,P8_PV-PROV(2017)04-05(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-05/pv_provisoire/P8_PV-PROV(2017)04-05(VOT)_EN,pdf|docx
2017-04-04,VOT,P8_PV-PROV(2017)04-04(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/04-04/pv_provisoire/P8_PV-PROV(2017)04-04(VOT)_EN,pdf|docx
2017-03-02,VOT,P8_PV(2017)03-02(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-02/liste_presence/P8_PV(2017)03-02(VOT)_EN,docx
2017-02-16,VOT,P8_PV(2017)02-16(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-16/liste_presence/P8_PV(2017)02-16(VOT)_EN,pdf|docx
2017-02-15,VOT,P8_PV(2017)02-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-15/liste_presence/P8_PV(2017)02-15(VOT)_EN,pdf|docx
2017-03-16,VOT,P8_PV-PROV(2017)03-16(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-16/pv_provisoire/P8_PV-PROV(2017)03-16(VOT)_EN,pdf|docx
2017-03-15,VOT,P8_PV-PROV(2017)03-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-15/pv_provisoire/P8_PV-PROV(2017)03-15(VOT)_EN,pdf|docx
2017-03-14,VOT,P8_PV-PROV(2017)03-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-14/pv_provisoire/P8_PV-PROV(2017)03-14(VOT)_EN,pdf|docx
2017-02-14,VOT,P8_PV(2017)02-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-14/liste_presence/P8_PV(2017)02-14(VOT)_EN,pdf|docx
2017-02-02,VOT,P8_PV(2017)02-02(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-02/liste_presence/P8_PV(2017)02-02(VOT)_EN,pdf|docx
2017-01-19,VOT,P8_PV(2017)01-19(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/01-19/liste_presence/P8_PV(2017)01-19(VOT)_EN,pdf|docx
2017-01-18,VOT,P8_PV(2017)01-18(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/01-18/liste_presence/P8_PV(2017)01-18(VOT)_EN,docx
2016-12-15,VOT,P8_PV(2016)12-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-15/liste_presence/P8_PV(2016)12-15(VOT)_EN,pdf|docx
2017-03-02,VOT,P8_PV-PROV(2017)03-02(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/03-02/pv_provisoire/P8_PV-PROV(2017)03-02(VOT)_EN,pdf|docx
2016-12-14,VOT,P8_PV(2016)12-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-14/liste_presence/P8_PV(2016)12-14(VOT)_EN,pdf|docx
2016-12-13,VOT,P8_PV(2016)12-13(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-13/liste_presence/P8_PV(2016)12-13(VOT)_EN,pdf|docx
2016-12-01,VOT,P8_PV(2016)12-01(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/12-01/liste_presence/P8_PV(2016)12-01(VOT)_EN,pdf|docx
2017-02-16,VOT,P8_PV-PROV(2017)02-16(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-16/pv_provisoire/P8_PV-PROV(2017)02-16(VOT)_EN,pdf|docx
2017-02-15,VOT,P8_PV-PROV(2017)02-15(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-15/pv_provisoire/P8_PV-PROV(2017)02-15(VOT)_EN,pdf|docx
2017-02-14,VOT,P8_PV-PROV(2017)02-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-14/pv_provisoire/P8_PV-PROV(2017)02-14(VOT)_EN,pdf|docx
2016-11-24,VOT,P8_PV(2016)11-24(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-24/liste_presence/P8_PV(2016)11-24(VOT)_EN,pdf|docx
2016-11-23,VOT,P8_PV(2016)11-23(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/11-23/liste_presence/P8_PV(2016)11-23(VOT)_EN,pdf|docx
2017-02-02,VOT,P8_PV-PROV(2017)02-02(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/02-02/pv_provisoire/P8_PV-PROV(2017)02-02(VOT)_EN,pdf|docx
