date,code,status,reference,name,baseurl,extensions
2018-09-10,RCV,final,P8_PV(2018)09-10(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 10 septembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/09-10/liste_presence/P8_PV(2018)09-10(RCV)_XC,pdf|xml|docx
2018-07-05,RCV,final,P8_PV(2018)07-05(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 05 juillet 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/07-05/liste_presence/P8_PV(2018)07-05(RCV)_XC,pdf|xml|docx
2018-07-04,RCV,final,P8_PV(2018)07-04(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 04 juillet 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/07-04/liste_presence/P8_PV(2018)07-04(RCV)_XC,pdf|xml|docx
2018-07-03,RCV,final,P8_PV(2018)07-03(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 03 juillet 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/07-03/liste_presence/P8_PV(2018)07-03(RCV)_XC,pdf|xml|docx
2018-07-02,RCV,final,P8_PV(2018)07-02(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 02 juillet 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/07-02/liste_presence/P8_PV(2018)07-02(RCV)_XC,pdf|xml|docx
2018-06-14,RCV,final,P8_PV(2018)06-14(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 14 juin 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/06-14/liste_presence/P8_PV(2018)06-14(RCV)_XC,pdf|xml|docx
2018-06-13,RCV,final,P8_PV(2018)06-13(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 13 juin 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/06-13/liste_presence/P8_PV(2018)06-13(RCV)_XC,pdf|xml|docx
2018-06-12,RCV,final,P8_PV(2018)06-12(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 12 juin 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/06-12/liste_presence/P8_PV(2018)06-12(RCV)_XC,pdf|xml|docx
2018-06-11,RCV,final,P8_PV(2018)06-11(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 11 juin 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/06-11/liste_presence/P8_PV(2018)06-11(RCV)_XC,pdf|xml|docx
2018-05-31,RCV,final,P8_PV(2018)05-31(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 31 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-31/liste_presence/P8_PV(2018)05-31(RCV)_XC,pdf|xml|docx
2018-05-30,RCV,final,P8_PV(2018)05-30(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 30 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-30/liste_presence/P8_PV(2018)05-30(RCV)_XC,pdf|xml|docx
2018-05-29,RCV,final,P8_PV(2018)05-29(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 29 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-29/liste_presence/P8_PV(2018)05-29(RCV)_XC,pdf|xml|docx
2018-05-28,RCV,final,P8_PV(2018)05-28(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 28 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-28/liste_presence/P8_PV(2018)05-28(RCV)_XC,pdf|xml|docx
2018-05-03,RCV,final,P8_PV(2018)05-03(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 03 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-03/liste_presence/P8_PV(2018)05-03(RCV)_XC,pdf|xml
2018-05-02,RCV,final,P8_PV(2018)05-02(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 02 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-02/liste_presence/P8_PV(2018)05-02(RCV)_XC,pdf|xml|docx
2018-04-19,RCV,final,P8_PV(2018)04-19(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 19 avril 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/04-19/liste_presence/P8_PV(2018)04-19(RCV)_XC,pdf|xml|docx
2018-04-18,RCV,final,P8_PV(2018)04-18(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 18 avril 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/04-18/liste_presence/P8_PV(2018)04-18(RCV)_XC,pdf|xml|docx
2018-04-17,RCV,final,P8_PV(2018)04-17(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 17 avril 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/04-17/liste_presence/P8_PV(2018)04-17(RCV)_XC,pdf|xml|docx
2018-04-16,RCV,final,P8_PV(2018)04-16(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 16 avril 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/04-16/liste_presence/P8_PV(2018)04-16(RCV)_XC,pdf|xml|docx
2018-03-15,RCV,final,P8_PV(2018)03-15(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 15 mars 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-15/liste_presence/P8_PV(2018)03-15(RCV)_XC,pdf|xml|docx
2018-03-14,RCV,final,P8_PV(2018)03-14(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 14 mars 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-14/liste_presence/P8_PV(2018)03-14(RCV)_XC,pdf|xml|docx
2018-03-13,RCV,final,P8_PV(2018)03-13(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 13 mars 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-13/liste_presence/P8_PV(2018)03-13(RCV)_XC,pdf|xml|docx
2018-03-01,RCV,final,P8_PV(2018)03-01(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 01 mars 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-01/liste_presence/P8_PV(2018)03-01(RCV)_XC,pdf|xml|docx
2018-02-28,RCV,final,P8_PV(2018)02-28(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 28 février 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-28/liste_presence/P8_PV(2018)02-28(RCV)_XC,pdf|xml|docx
2018-02-08,RCV,final,P8_PV(2018)02-08(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 08 février 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-08/liste_presence/P8_PV(2018)02-08(RCV)_XC,pdf|xml|docx
2018-02-07,RCV,final,P8_PV(2018)02-07(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 07 février 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-07/liste_presence/P8_PV(2018)02-07(RCV)_XC,pdf|xml|docx
2018-02-06,RCV,final,P8_PV(2018)02-06(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 06 février 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-06/liste_presence/P8_PV(2018)02-06(RCV)_XC,pdf|xml|docx
2018-01-18,RCV,final,P8_PV(2018)01-18(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 18 janvier 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/01-18/liste_presence/P8_PV(2018)01-18(RCV)_XC,pdf|xml|docx
2018-01-17,RCV,final,P8_PV(2018)01-17(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 17 janvier 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/01-17/liste_presence/P8_PV(2018)01-17(RCV)_XC,pdf|xml|docx
2018-01-16,RCV,final,P8_PV(2018)01-16(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 16 janvier 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/01-16/liste_presence/P8_PV(2018)01-16(RCV)_XC,pdf|xml|docx
2018-01-15,RCV,final,P8_PV(2018)01-15(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 15 janvier 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/01-15/liste_presence/P8_PV(2018)01-15(RCV)_XC,pdf|xml|docx
2017-12-14,RCV,final,P8_PV(2017)12-14(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 14 décembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/12-14/liste_presence/P8_PV(2017)12-14(RCV)_XC,pdf|xml|docx
2017-12-13,RCV,final,P8_PV(2017)12-13(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 13 décembre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/12-13/liste_presence/P8_PV(2017)12-13(RCV)_XC,pdf|xml|docx
