date,code,status,reference,name,baseurl,extensions
2014-09-17,LP,final,P8_PV(2014)09-17(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/09-17/liste_presence/xml/P8_PV(2014)09-17(LP)_FR,pdf|xml
2014-09-16,LP,final,P8_PV(2014)09-16(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/09-16/liste_presence/xml/P8_PV(2014)09-16(LP)_FR,pdf|xml
2014-09-15,LP,final,P8_PV(2014)09-15(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/09-15/liste_presence/xml/P8_PV(2014)09-15(LP)_FR,pdf|xml
2014-07-17,LP,final,P8_PV(2014)07-17(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/07-17/liste_presence/xml/P8_PV(2014)07-17(LP)_FR,pdf|xml
2014-07-16,LP,final,P8_PV(2014)07-16(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/07-16/liste_presence/xml/P8_PV(2014)07-16(LP)_FR,pdf|xml
2014-07-15,LP,final,P8_PV(2014)07-15(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/07-15/liste_presence/xml/P8_PV(2014)07-15(LP)_FR,pdf|xml
2014-07-14,LP,final,P8_PV(2014)07-14(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/07-14/liste_presence/xml/P8_PV(2014)07-14(LP)_FR,pdf|xml
2014-07-03,LP,final,P8_PV(2014)07-03(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/07-03/liste_presence/xml/P8_PV(2014)07-03(LP)_FR,pdf|xml
2014-07-02,LP,final,P8_PV(2014)07-02(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/07-02/liste_presence/xml/P8_PV(2014)07-02(LP)_FR,pdf|xml
2014-07-01,LP,final,P8_PV(2014)07-01(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/07-01/liste_presence/xml/P8_PV(2014)07-01(LP)_FR,pdf|xml
2018-11-12,LP,prov,P8_PV-PROV(2018)11-12(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-12/pv_provisoire/P8_PV-PROV(2018)11-12(LP)_FR,pdf|xml|docx
2018-10-25,LP,prov,P8_PV-PROV(2018)10-25(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-25/pv_provisoire/P8_PV-PROV(2018)10-25(LP)_FR,pdf|xml|docx
2018-10-24,LP,prov,P8_PV-PROV(2018)10-24(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-24/pv_provisoire/P8_PV-PROV(2018)10-24(LP)_FR,pdf|xml|docx
2018-10-23,LP,prov,P8_PV-PROV(2018)10-23(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-23/pv_provisoire/P8_PV-PROV(2018)10-23(LP)_FR,pdf|xml|docx
2018-10-22,LP,prov,P8_PV-PROV(2018)10-22(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-22/pv_provisoire/P8_PV-PROV(2018)10-22(LP)_FR,pdf|xml|docx
2018-10-04,LP,prov,P8_PV-PROV(2018)10-04(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-04/pv_provisoire/P8_PV-PROV(2018)10-04(LP)_FR,pdf|xml|docx
2018-10-03,LP,prov,P8_PV-PROV(2018)10-03(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-03/pv_provisoire/P8_PV-PROV(2018)10-03(LP)_FR,pdf|xml|docx
2018-10-02,LP,prov,P8_PV-PROV(2018)10-02(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-02/pv_provisoire/P8_PV-PROV(2018)10-02(LP)_FR,pdf|xml|docx
2018-10-01,LP,prov,P8_PV-PROV(2018)10-01(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-01/pv_provisoire/P8_PV-PROV(2018)10-01(LP)_FR,pdf|xml|docx
2018-09-13,LP,prov,P8_PV-PROV(2018)09-13(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/09-13/pv_provisoire/P8_PV-PROV(2018)09-13(LP)_FR,pdf|xml|docx
2018-09-12,LP,prov,P8_PV-PROV(2018)09-12(LP),Procès-verbal - Attendance List,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/09-12/pv_provisoire/P8_PV-PROV(2018)09-12(LP)_FR,pdf|xml|docx
