name,id,first,last
Grapini,124785,2014-07-01,2018-07-05
Graswander-Hainz,133316,2015-09-07,2018-07-05
Griesbeck,28208,2014-07-01,2018-07-05
Griffin,124961,2014-07-01,2018-07-05
Grigule,124745,2014-07-01,2017-07-06
Grigule-Pēterse,124745,2017-09-11,2018-07-05
Groote,34728,2014-07-01,2016-10-26
Grossetête,2025,2014-07-01,2018-07-05
Grzyb,23785,2014-07-01,2018-07-05
Gräßle,28220,2014-07-01,2018-07-05
Gróbarczyk,96790,2014-07-01,2015-10-29
Gualtieri,96892,2014-07-01,2018-07-05
Guerrero Salom,96768,2014-07-01,2018-07-05
Guillaume,96952,2014-07-01,2018-07-05
Guoga,124763,2014-07-01,2018-06-14
Guteland,124991,2014-07-01,2018-07-05
Gutiérrez Prieto,103488,2014-07-01,2018-07-05
Gyürk,23816,2014-07-01,2018-07-04
Gál,28150,2014-07-01,2018-07-05
Gáll-Pelcz,102886,2014-07-01,2017-07-06
Hadjigeorgiou,96907,2014-07-01,2018-07-05
Halla-aho,124727,2014-07-01,2018-07-05
Hannan,4555,2014-07-01,2018-07-04
Harkin,28116,2014-07-01,2018-07-05
Harms,28233,2015-05-19,2018-07-05
Hautala,2054,2014-07-01,2018-07-05
Hayes,118658,2014-07-01,2018-07-05
Hazekamp,125023,2014-07-01,2018-07-05
Hedh,28131,2014-07-01,2018-06-13
Hellvig,37448,2014-07-14,2015-02-12
Helmer,4516,2014-07-01,2017-07-06
Henkel,124823,2014-07-01,2018-07-05
Hermann Winkler,96764,2014-07-01,2018-07-05
Herranz García,22418,2014-07-01,2018-07-04
Hetman,124895,2014-07-01,2018-07-05
Heubuch,124848,2014-07-01,2018-07-04
Hirsch,96872,2018-02-05,2018-07-05
Hoc,135540,2015-12-02,2018-07-05
Hoffmann,124841,2018-03-12,2018-07-05
Hohlmeier,96780,2014-07-01,2018-07-05
Honeyball,5846,2014-07-01,2018-07-05
Hookem,124957,2014-07-01,2018-07-05
Hortefeux,5565,2014-07-01,2018-07-05
Howarth,188636,2017-07-04,2018-07-05
Howitt,2073,2014-07-01,2016-10-26
Hudghton,2338,2014-07-01,2018-06-14
Huitema,58789,2014-07-01,2018-07-05
Hyusmenova,34249,2014-07-01,2018-07-05
Händel,96851,2014-07-01,2018-07-05
Häusling,96752,2014-07-01,2018-07-04
Hökmark,28124,2014-07-01,2018-07-05
Hölvényi,124715,2014-07-01,2018-07-05
Hübner,96779,2014-07-01,2018-07-05
Ide,125108,2014-07-01,2014-12-16
Iglesias,125031,2014-07-03,2015-10-27
Iglesias Turrión,125031,2014-07-01,2014-07-02
Iotova,38605,2014-07-01,2016-12-15
Iris Hoffmann,124841,2014-07-01,2017-12-14
Iturgaiz,28398,2014-11-12,2018-07-04
Iuliu Winkler,39725,2014-07-01,2018-07-05
Ivan,96857,2014-07-01,2018-07-04
Iwaszkiewicz,124886,2014-07-01,2018-06-14
Jaakonsaari,96684,2014-07-01,2018-07-05
Jackiewicz,124882,2014-07-01,2015-11-11
Jadot,96740,2014-07-01,2018-07-05
Jahr,96772,2014-07-01,2018-07-05
Jakovčić,124754,2014-07-01,2018-07-05
Jalkh,124770,2014-07-01,2018-07-05
James,124939,2014-07-01,2018-07-05
Jamet,189065,2017-09-12,2018-07-05
Jan Keller,124695,2014-07-01,2018-07-05
Jana Žitňanská,124901,2016-05-09,2018-03-01
Jansen,125029,2014-07-01,2015-04-30
Jazłowiecka,96781,2014-07-01,2018-07-05
Jean-Marie Le Pen,1023,2014-07-01,2017-07-06
Ježek,124707,2014-07-01,2018-07-05
Jill Evans,4550,2018-02-05,2018-07-05
Jiménez Villarejo,125034,2014-07-01,2014-07-17
Jiménez-Becerril Barrio,96806,2014-07-01,2018-07-04
Jiří Pospíšil,23845,2014-07-01,2014-07-03
Joly,96883,2014-07-01,2018-07-05
Jongerius,125021,2014-07-01,2018-07-05
José Blanco López,125044,2014-07-02,2014-11-13
Joulaud,124728,2014-07-01,2018-07-05
João Ferreira,96706,2014-07-01,2016-05-11
Juaristi Abaunz,125051,2014-07-01,2018-02-08
Jurek,124892,2014-07-01,2018-07-05
Juvin,96884,2014-07-01,2018-07-05
Járóka,28141,2017-10-03,2018-07-05
Jáuregui Atondo,97078,2014-07-01,2018-07-05
Jávor,124721,2014-07-01,2018-07-05
Jäätteenmäki,28314,2014-07-01,2018-07-05
Kadenbach,97014,2014-07-01,2018-07-05
Kaili,125109,2014-07-01,2018-07-05
Kaja Kallas,124697,2014-07-02,2018-03-01
Kalinowski,96771,2014-07-01,2018-07-05
Kallas,124697,2018-02-05,2018-07-05
Kalniete,96934,2014-07-01,2018-07-05
Kamall,33569,2014-07-01,2015-12-02
Kammerevert,96837,2014-07-01,2018-07-05
Kappel,125024,2014-07-01,2018-07-05
Karas,4246,2014-07-01,2018-07-05
Kari,122885,2014-07-01,2018-07-05
Karim,28481,2014-07-01,2018-07-05
Kariņš,96901,2014-07-01,2018-06-14
Karlsson,124876,2018-02-05,2018-07-05
Karski,124887,2014-07-01,2018-07-05
Katrougalos,125062,2014-07-01,2014-07-02
Katrougkalos,125062,2014-07-03,2015-01-15
Kaufmann,1849,2014-07-01,2018-07-05
Kefalogiannis,125068,2014-07-01,2018-07-05
Kelam,28424,2014-07-01,2018-07-05
Kelly,96668,2014-07-01,2018-07-05
Khan,124962,2014-07-01,2017-04-27
Khan,188624,2017-07-03,2018-07-05
Kirkhope,4542,2014-07-01,2016-10-05
Kirton-Darling,124953,2014-07-01,2018-06-14
Klinz,28244,2017-11-15,2018-07-05
Koch,1852,2014-07-01,2018-07-05
Kofod,124870,2014-07-01,2018-07-05
Kohlíček,28331,2016-02-24,2018-07-05
Kohn,186884,2017-03-01,2018-07-05
Konečná,23699,2014-07-01,2018-07-05
Konstantinos Papadakis,125093,2014-07-01,2018-07-05
Korwin-Mikke,124879,2014-07-01,2018-03-01
Kostadinka Kuneva,125092,2014-07-01,2018-03-01
Kouloglou,130833,2015-02-11,2018-07-05
Kouroumbashev,124857,2017-01-17,2018-07-05
Kovatchev,97968,2014-07-01,2018-07-05
Kozłowska-Rajewicz,124889,2014-07-01,2018-07-05
Krasnodębski,124891,2014-07-01,2018-07-04
Krehl,1854,2014-07-01,2018-07-05
Krupa,28334,2016-07-04,2018-07-05
Kudrycka,28284,2014-07-01,2018-07-05
Kuhn,96767,2014-07-01,2018-07-05
Kukan,96651,2014-07-01,2018-07-05
Kumpula-Natri,124735,2014-07-01,2018-07-05
Kuneva,125092,2018-03-12,2018-07-05
Kuźmiuk,28389,2014-07-01,2018-07-05
Kyenge,124801,2014-07-01,2018-07-05
Kyllönen,124736,2014-07-01,2018-07-05
Kyrkos,125113,2014-07-01,2018-07-05
Kyrtsos,125063,2014-07-01,2018-07-05
Kyuchyuk,124866,2014-07-01,2018-07-05
Kósa,96829,2014-07-01,2018-07-05
Kölmel,124824,2014-07-01,2018-07-05
Köster,124822,2014-07-01,2018-07-05
Köstinger,96882,2014-07-01,2017-10-24
Kłosowski,135541,2015-12-02,2018-07-05
La Via,96816,2014-07-01,2018-07-05
Lalonde,188254,2017-06-01,2018-07-05
Lamassoure,1204,2014-07-01,2018-07-05
Lambert,4531,2014-07-01,2018-07-05
Lamberts,96648,2014-07-01,2017-11-30
Lambsdorff,28242,2014-07-01,2017-10-04
Lancini,192635,2018-04-18,2018-07-05
Landsbergis,124759,2014-07-01,2016-05-12
Lange,1909,2014-07-01,2018-07-05
Langen,1928,2014-07-01,2018-07-05
Lauristin,124698,2014-07-01,2017-10-26
Lavrilleux,124731,2014-07-01,2018-07-05
Le Grip,101580,2014-07-01,2017-06-14
Le Hyaric,96735,2014-07-01,2018-07-05
Le Pen,1023,2017-09-11,2018-05-30
Lebreton,124738,2014-07-01,2018-07-05
Lechevalier,188718,2017-09-11,2018-07-05
Legutko,96796,2014-07-01,2017-12-13
Leichtfried,28251,2014-07-01,2015-06-09
Leinen,4262,2014-07-01,2018-07-05
Lenaers,95074,2014-07-01,2018-07-04
Lewandowski,23781,2014-07-01,2018-07-05
Lewer,124943,2014-07-01,2017-04-27
Liberadzki,23768,2014-07-01,2018-07-05
Liese,1927,2014-07-01,2018-07-05
Lietz,124839,2014-07-01,2018-07-05
Liliana Rodrigues,125099,2014-07-01,2018-07-05
Lins,124808,2014-07-01,2018-07-05
Lochbihler,96728,2014-07-01,2018-07-05
Loiseau,125684,2014-07-15,2018-07-05
Loones,128717,2014-10-21,2018-07-05
Lope Fontagné,96765,2014-07-01,2018-07-04
Louis Michel,96670,2017-02-13,2018-03-01
Lucke,124820,2014-07-01,2018-07-05
Lucy Anderson,124949,2014-07-01,2018-07-05
Ludvigsson,96673,2014-07-01,2018-07-05
Lunacek,97017,2014-07-01,2017-10-25
Lundgren,124996,2014-07-01,2018-07-05
López,125042,2014-07-15,2018-06-14
López,125047,2014-07-03,2014-07-03
López Aguilar,96812,2014-07-01,2018-07-05
López Bermejo,125047,2014-07-01,2018-07-05
López Fernández,125042,2014-07-01,2014-07-03
López-Istúriz White,28399,2014-07-01,2018-07-05
Lösing,96854,2014-07-01,2018-07-05
Lövin,96675,2014-07-01,2014-09-18
Løkkegaard,96709,2016-04-11,2018-07-05
Mach,84175,2014-07-01,2017-07-06
Macovei,96824,2014-07-01,2018-07-05
Maeijer,97513,2014-07-01,2017-03-15
Maletić,119436,2014-07-01,2018-07-05
Malinov,111027,2014-07-01,2018-07-05
Maltese,125192,2014-07-01,2018-07-04
Mamikins,124746,2014-07-01,2018-07-05
Mandl,190713,2017-12-11,2018-07-05
Manfred Weber,28229,2014-07-01,2018-04-18
Mann,1922,2014-07-01,2018-07-05
Manscour,124725,2014-07-01,2018-06-14
Maragall,124933,2014-07-01,2016-12-15
Marcellesi,26146,2016-10-24,2018-07-05
Margrete Auken,28161,2014-07-01,2018-03-01
Maria João Rodrigues,124737,2014-07-01,2018-07-05
Marianne Thyssen,1832,2014-09-15,2014-09-17
Marias,125069,2014-07-01,2018-07-05
Marine Le Pen,28210,2014-07-01,2017-01-16
Marinescu,33982,2014-07-01,2018-07-05
Marinho e Pinto,124742,2014-07-01,2018-07-05
Mariya Gabriel,96848,2014-07-01,2017-07-06
Marlene Mizzi,118858,2016-09-12,2018-03-01
Martina Anderson,113959,2014-07-01,2018-07-05
Martusciello,124828,2014-07-01,2018-07-05
Marusik,124894,2014-07-01,2018-07-05
Matera,96813,2014-07-01,2018-07-05
Matias,96820,2014-07-01,2018-07-05
Mato,96936,2014-07-03,2018-07-04
Mato Adrover,96936,2014-07-01,2014-07-02
Matthews,188622,2017-07-03,2018-07-05
Maullu,133326,2015-09-07,2018-07-05
Maura Barandiarán,125039,2014-07-01,2015-11-11
Maurel,24505,2014-07-01,2018-07-05
Maurizio Enzo Lupi,124782,2014-07-02,2014-07-03
Mavrides,124691,2014-07-01,2018-07-05
Maydell,98341,2017-02-01,2018-07-05
Mayer,38511,2014-07-01,2016-12-15
Mayer,185637,2016-11-30,2016-12-15
Mazuronis,124768,2014-07-15,2018-07-05
Maňka,28192,2014-07-01,2018-07-05
Maštálka,23704,2014-07-01,2018-06-14
