date,code,status,reference,name,baseurl,extensions
2017-11-30,minute,final,P8_PV(2017)11-30,Procès-verbal définitif - Séance plénière - 30/11/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-30/liste_presence/P8_PV(2017)11-30_FR,pdf|xml|docx
2017-11-29,minute,final,P8_PV(2017)11-29,Procès-verbal définitif - Séance plénière - 29/11/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-29/liste_presence/P8_PV(2017)11-29_FR,pdf|xml|docx
2017-11-16,minute,final,P8_PV(2017)11-16,Procès-verbal - Séance plénière - 16/11/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-16/liste_presence/P8_PV(2017)11-16_FR,pdf|xml|docx
2017-11-15,minute,final,P8_PV(2017)11-15,Procès-verbal définitif - Séance plénière - 15/11/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-15/liste_presence/P8_PV(2017)11-15_FR,pdf|xml|docx
2017-11-14,minute,final,P8_PV(2017)11-14,Procès-verbal - Séance plénière - 14/11/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-14/liste_presence/P8_PV(2017)11-14_FR,pdf|xml|docx
2017-11-13,minute,final,P8_PV(2017)11-13,Procès-verbal définitif - Séance plénière - 13/11/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/11-13/liste_presence/P8_PV(2017)11-13_FR,pdf|xml|docx
2017-10-26,minute,final,P8_PV(2017)10-26,Procès-verbal définitif - Séance plénière - 26/10/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-26/liste_presence/P8_PV(2017)10-26_FR,pdf|xml|docx
2017-10-25,minute,final,P8_PV(2017)10-25,"Procès-verbal - Séance plénière - Mercredi, 25 octobre 2017",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-25/liste_presence/P8_PV(2017)10-25_FR,pdf|xml|docx
2017-10-24,minute,final,P8_PV(2017)10-24,Procès-verbal définitif - Séance plénière - 24/10/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-24/liste_presence/P8_PV(2017)10-24_FR,pdf|xml|docx
2017-10-23,minute,final,P8_PV(2017)10-23,Procès-verbal définitif - Séance plénière - 23/10/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-23/liste_presence/P8_PV(2017)10-23_FR,pdf|xml|docx
2017-10-05,minute,final,P8_PV(2017)10-05,Procès-verbal définitif - Séance plénière - 05/10/2017,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-05/liste_presence/P8_PV(2017)10-05_FR,pdf|xml|docx
